id,contract_id,commitment_type,number,value,budget_code,date,is_addition
b5630c46-29f3-4a0f-bae9-be62fdf11bf4,486154c9-0f0f-4768-8fda-40a152d8648f,CDP,2022-041,33000000.0,2.5.5.02.09.01.04.01.09,2022-01-27,False
c5d25550-626d-4637-9f1e-e85670517bd4,486154c9-0f0f-4768-8fda-40a152d8648f,CRP,2022-029,33000000.0,2.5.5.02.09.01.04.01.09,2022-01-28,False
806af33d-a816-4986-91cd-d26f26fa8026,91b08c4e-be51-4d00-b8ba-aea0482acfc2,CDP,2022-043,6661501000.0,2.5.5.02.09.01.04.02.01,2022-01-27,False
f506b9eb-b57f-4c7d-9594-7d4e5f8092f0,91b08c4e-be51-4d00-b8ba-aea0482acfc2,CRP,2022-034,6661501000.0,2.5.5.02.09.01.04.02.01,2023-02-03,False
bd688e62-1cbd-4d74-9e87-06004a26533a,016fe406-331a-4c13-bb3d-41e865590899,CDP,2022-021,321073900.0,2.5.5.02.09.01.01.01.01,2022-01-18,False
3b4034d8-4dd9-4f42-a9f0-9227f7fac763,016fe406-331a-4c13-bb3d-41e865590899,CRP,2022-035,321073900.0,2.5.5.02.09.01.01.01.01,2022-02-07,False
915e4b87-bc8e-412b-95a2-4cf2eb33f413,bfc612b2-28cc-421a-979f-53fd51cf769e,CDP,2022-061,294311000.0,2.5.5.02.09.01.02.01.03,2023-03-01,False
b7d9a047-3b63-4457-a14e-634bde4b94af,bfc612b2-28cc-421a-979f-53fd51cf769e,CRP,2022-060,294311000.0,2.5.5.02.09.01.02.01.03,2022-03-16,False
d6494b30-9f09-49a8-a99b-462f4655a1fb,bda57a1c-044e-4bae-9a35-0440e50680fe,CDP,2022-017,589842030.0,2.5.5.02.09.01.01.02.01,2022-01-18,False
7ea5db8f-674d-4f90-941a-c70f538848c2,bda57a1c-044e-4bae-9a35-0440e50680fe,CRP,2022-048,589842030.0,2.5.5.02.09.01.01.02.01,2023-03-01,False
f04b04a5-4486-4725-93e3-383c4e527519,3ca4cb9e-6ab9-42b3-a728-4f36cac0eb12,CDP,2022-040,275100000.0,2.5.5.02.09.01.02.01.02,2022-01-26,False
fff82cd3-68fc-4ed3-af18-0a82ba7ae839,3ca4cb9e-6ab9-42b3-a728-4f36cac0eb12,CRP,2022-054,275100000.0,2.5.5.02.09.01.02.01.02,2022-03-09,False
76bb1eb3-f7b4-403c-929e-e90606b056e2,0af83cb7-6fe6-4f9f-abf6-7dc456879c04,CDP,2022-061,147958800.0,2.1.2.02.02.008.06,2022-03-01,False
391501d5-49e1-4642-962b-e5ccc168172b,0af83cb7-6fe6-4f9f-abf6-7dc456879c04,CRP,2022-060,147958800.0,2.1.2.02.02.008.06,2022-03-16,False
07386803-e5ed-4cc5-a386-bb8c22656911,b7622476-5fcf-406c-b882-2fe8f6cd7159,CDP,2022-053,2500000.0,2.1.2.02.01.002.01,2022-02-16,False
203e1b90-7e2a-433b-864c-c1b46aa677ef,b7622476-5fcf-406c-b882-2fe8f6cd7159,CRP,2022-062,2500000.0,2.1.2.02.01.002.01,2022-03-24,False
5fc4b00f-182a-48ab-985c-66a2e949b127,f0f9cd04-9a2d-4535-92a9-1c454efc6e81,CDP,2022-065,99999999.0,2.1.2.02.02.008.07,2022-03-11,False
bdbb85b1-c974-4cbb-9a47-f6579f556aab,f0f9cd04-9a2d-4535-92a9-1c454efc6e81,CRP,2022-66,99999999.0,2.1.2.02.02.008.07,2022-03-31,False
4227754c-9eee-4304-b741-623a8044c1a0,2df52619-5964-47a7-bd7e-67a2c76de19e,CDP,2022-055,136530180.0,2.5.5.02.09.01.02.01.05,2022-02-24,False
70e09837-b2ff-4e51-a6f7-38f4149a617c,2df52619-5964-47a7-bd7e-67a2c76de19e,CRP,2022-080,136530180.0,2.5.5.02.09.01.02.01.05,2022-05-13,False
713e3c88-b519-4e3e-a3ce-281fcc57bae4,3199dce6-2a17-4cc8-8779-d54bef28a2f3,CDP,2022-044,4506567898.67,2.5.5.02.09.01.01.04.01,2022-01-27,False
11b6d885-f463-41f6-8102-dd500b751f20,3199dce6-2a17-4cc8-8779-d54bef28a2f3,CRP,2022-077,4506567898.67,2.5.5.02.09.01.01.04.01,2022-05-02,False
