id,contract_id,extension_number,extension_term_text,extension_term_days,extension_date,new_end_date
005884a4-0345-467a-9d36-cdded0f8ae97,0da88a85-42b9-4529-88ca-31097d3df83e,2,8 dias,8.0,,
e28f8cb2-0810-4ecd-acaa-f81e04064c47,2a7fce8a-bcd1-4c38-a35c-14a11782c2b6,1,12 dias,12.0,,
a1871f60-b1c1-4cbc-9e48-f26bbe5c2c1f,397019de-8f02-4a35-b094-87b2a4307e00,1,4 meses,120.0,,
3280b54f-ac73-43ec-af0c-528aecc46c29,16231b91-e560-4e85-baca-038f94d3e408,1,38 DIAS,38.0,,
0cdfa8fb-1a6c-4547-ab8b-07f7d0376ac0,16231b91-e560-4e85-baca-038f94d3e408,2,58 DIAS,58.0,,
ae0b0fec-7ee1-4387-b2b4-9659ad0bf17f,1a2b9149-8e85-46c6-909c-c45b792b4188,1,48 DIAS,48.0,,
92d8bcc5-8097-48a9-a0c0-a60845e02ba7,04c4b089-e1c1-4c5f-94d3-04450cb053b5,1,42 DIAS,42.0,,
16a6dee7-33ff-4cd8-91d3-c6fe2d8442ad,04c4b089-e1c1-4c5f-94d3-04450cb053b5,2,50 DIAS,50.0,,
395b0b1d-f07d-434f-b900-e0fe740c18b9,04c4b089-e1c1-4c5f-94d3-04450cb053b5,3,11 DIAS,11.0,,
e73fd2d5-f542-4d49-a66b-81d3ace9106f,fa31d417-0bd3-4dea-a921-5cc47ce50750,1,42 DIAS,42.0,,
520898bf-ae98-4825-88d5-9981afb33245,fa31d417-0bd3-4dea-a921-5cc47ce50750,2,50 DIAS,50.0,,
c2d6a385-5ca7-4e4e-aee3-254353e53912,fa31d417-0bd3-4dea-a921-5cc47ce50750,3,11 DIAS,11.0,,
dfdd03d2-d6d2-4e01-b4ef-636212de3421,1f3b5c43-e1ce-4476-931d-85c7144db12a,1,16 DIAS,16.0,,
9c36fd7e-91c3-4bad-bfc3-61385508776b,1f3b5c43-e1ce-4476-931d-85c7144db12a,2,50 DIAS,50.0,,
d171d91d-56f6-4e5a-bf31-c8d32abb7216,1f3b5c43-e1ce-4476-931d-85c7144db12a,3,15 DIAS,15.0,,
da072a0b-eb33-4c1b-b208-26b68f5c0e88,bbd84d17-9287-4114-ac1f-8e37f4a07d4c,1,1 MES 24 DIAS,54.0,,
0e921692-1bb4-4786-b63b-a540273a0675,bbd84d17-9287-4114-ac1f-8e37f4a07d4c,2,15 DIAS,15.0,,
b42bd654-79ac-453a-be16-bf31d234290c,dbf963f4-08ee-4a9f-be43-e6ebf50f6f3c,1,1 MES 28 DIAS,58.0,,
ccec7661-d9d9-4500-9803-ac0154156bcf,4da7409d-bbed-4b81-aae2-a944174f3001,1,1 MES 28 DIAS,58.0,,
5bfa5524-5a39-4cc7-9e55-15f110a3947c,61ba1de1-44a9-47bd-bb92-db0111c90be3,1,1 MES 28 DIAS,58.0,,
4270af2f-156c-4686-9cf9-488674432427,c1084585-2718-47be-a641-e543f167fb85,1,2 MESES 12 DIAS,72.0,,
444db212-7684-4e59-8eb2-b238f7e51a0d,c1084585-2718-47be-a641-e543f167fb85,2,2 MESES 15 DIAS,75.0,,
26787c64-97f7-443e-93c8-6a6d897ed68e,c1084585-2718-47be-a641-e543f167fb85,3,23 DIAS,23.0,,
91710553-4654-4767-b0a3-1d31fe9396ff,0bce10f3-a562-4d6a-bb64-dcd065aeb7eb,1,1 MES 28 DIAS,58.0,,
6714b5cd-137d-4896-b122-13e8a1efe581,52ee09f2-2fc2-4aab-9e78-38be305707f2,1,2 MESES 12 DIAS,72.0,,
707df99c-fc2f-4ea2-88b8-1ba058f2b0bc,52ee09f2-2fc2-4aab-9e78-38be305707f2,2,2 MESES 15 DIAS,75.0,,
bd263017-2075-4763-b043-978147925bb6,52ee09f2-2fc2-4aab-9e78-38be305707f2,3,23 DIAS,23.0,,
71f4172a-170d-43b6-aa6c-d20c6bc6c665,f8313ff5-4cf7-4b85-a433-750b2b148ae3,1,20 DÍAS,20.0,,
ec736240-cf89-4283-a0d8-26deab7fe370,f8313ff5-4cf7-4b85-a433-750b2b148ae3,2,15 DÍAS,15.0,,
970a9fbf-d136-499e-b108-9d628d1408e7,7d8c4703-bd0f-4e33-9a03-ad41b3d4d88f,1,20 DÍAS,20.0,,
bab21cd0-ea61-4234-983a-0b1016ebaf2f,7d8c4703-bd0f-4e33-9a03-ad41b3d4d88f,2,15 DÍAS,15.0,,
ef24220e-0f2f-4846-b683-14ced1a73e1e,63bacaf4-ce2f-4e1b-b138-34bf45c8dc3c,1,1 MES 11 DIAS,41.0,,
8e07d5f7-a336-4a22-83dc-d67cf9066832,a71a2361-fc40-4070-8056-6c86456a0c96,1,55 DIAS,55.0,,
8a0d3c51-f794-4428-a777-fd5ec8dbd63d,d0edf6a7-b4a3-42ff-8eb1-ce0bb9d07056,1,21 DIAS,21.0,,
b766fdf1-d716-496a-bdcc-d2131452db3c,eb96a379-61a4-4256-af36-e70a12f85937,1,58 DIAS,58.0,,
3fbb553a-6031-4eee-aa1b-28e3e3ad420b,ecff94b3-2c40-4564-8873-dce45e411fb4,1,1 MES 28 DIAS,58.0,,
a0fdd62c-fbc7-4e4e-b772-41e1bfb89f09,19e988d0-df00-449b-be51-92ebeeab93f0,1,58 DIAS,58.0,,
8d3a2d88-e634-4a7e-8279-7359e8d12480,22b7135f-da09-4895-8506-1b4c347433b9,1,2 MESES Y 2 DIAS,62.0,,
8dcf6ac3-81d9-441c-9534-7c0ab8286b4c,dd41d272-f954-4702-b227-5ef9d8597f73,1,45 DIAS,45.0,,
0710ee69-14d8-4167-b8dd-cab00fcb9beb,a2163045-0580-4d21-8e37-1251b0cf9acf,1,5 DIAS,5.0,,
bd8e40d3-2300-4b1b-899e-c74ee63efb33,a2163045-0580-4d21-8e37-1251b0cf9acf,2,3 MESES 26 DIAS,116.0,,
a19dad1d-e19e-4b02-b011-c090b529b5dc,1fc54cbf-b2c8-4900-822d-161af64f2c81,1,45 DIAS,45.0,,
32a94618-186d-429d-98cd-0394c68ea7db,45e7c582-0774-488d-bf1d-2ba3200f4c14,1,7 DIAS,7.0,,
88eb0170-6405-40df-a999-1d5192bc5191,ac495c43-21a2-4d9e-8d37-7204ea57c9c0,1,1 MES,30.0,,
32d3e5f8-8f28-4ce8-8528-e9e0ba9fb550,ac495c43-21a2-4d9e-8d37-7204ea57c9c0,2,10 MESES Y 2 DÍAS,302.0,,
be4b7080-c70b-41f7-bf42-cc1bbfd6568b,3f3ed696-3846-4962-82de-a0a5a707bdaf,1,13 DIAS,13.0,,
9b72c0ba-07b8-4579-a530-bf583e41a8db,3f3ed696-3846-4962-82de-a0a5a707bdaf,2,30 DIAS,30.0,,
0ec5fc62-700b-44b3-8ef2-1ceb55f09520,3f3ed696-3846-4962-82de-a0a5a707bdaf,3,18 DIAS,18.0,,
